id,category,age_group,question_en,question_bn,question_hi,question_jp,question_cn,options
1,Category1,AgeGroup1,QuestionEN1,QuestionBN1,QuestionHI1,QuestionJP1,QuestionCN1,"Always,Sometimes,Rarely,Never"
2,Category2,AgeGroup2,QuestionEN2,QuestionBN2,QuestionHI2,QuestionJP2,QuestionCN2,"Always,Sometimes,Rarely,Never"
3,Category3,AgeGroup3,QuestionEN3,QuestionBN3,QuestionHI3,QuestionJP3,QuestionCN3,"Always,Sometimes,Rarely,Never"
4,Category4,AgeGroup4,QuestionEN4,QuestionBN4,QuestionHI4,QuestionJP4,QuestionCN4,"Always,Sometimes,Rarely,Never"
5,Category5,AgeGroup5,QuestionEN5,QuestionBN5,QuestionHI5,QuestionJP5,QuestionCN5,"Always,Sometimes,Rarely,Never"
6,Category6,AgeGroup6,QuestionEN6,QuestionBN6,QuestionHI6,QuestionJP6,QuestionCN6,"Always,Sometimes,Rarely,Never"
7,Category7,AgeGroup7,QuestionEN7,QuestionBN7,QuestionHI7,QuestionJP7,QuestionCN7,"Always,Sometimes,Rarely,Never"
8,Category8,AgeGroup8,QuestionEN8,QuestionBN8,QuestionHI8,QuestionJP8,QuestionCN8,"Always,Sometimes,Rarely,Never"
9,Category9,AgeGroup9,QuestionEN9,QuestionBN9,QuestionHI9,QuestionJP9,QuestionCN9,"Always,Sometimes,Rarely,Never"
10,Category10,AgeGroup10,QuestionEN10,QuestionBN10,QuestionHI10,QuestionJP10,QuestionCN10,"Always,Sometimes,Rarely,Never"
11,Category11,AgeGroup11,QuestionEN11,QuestionBN11,QuestionHI11,QuestionJP11,QuestionCN11,"Always,Sometimes,Rarely,Never"
12,Category12,AgeGroup12,QuestionEN12,QuestionBN12,QuestionHI12,QuestionJP12,QuestionCN12,"Always,Sometimes,Rarely,Never"
13,Category13,AgeGroup13,QuestionEN13,QuestionBN13,QuestionHI13,QuestionJP13,QuestionCN13,"Always,Sometimes,Rarely,Never"
