id,category,age_group,question_en,question_bn,question_hi,question_jp,question_cn,options
1,Social,Teen,Question EN 1,Question BN 1,Question HI 1,Question JP 1,Question CN 1,"Always, Often, Sometimes, Rarely, Never"
2,Professional,Adult,Question EN 2,Question BN 2,Question HI 2,Question JP 2,Question CN 2,"Always, Often, Sometimes, Rarely, Never"
3,Personal,Senior,Question EN 3,Question BN 3,Question HI 3,Question JP 3,Question CN 3,"Always, Often, Sometimes, Rarely, Never"
4,Ethics,Child,Question EN 4,Question BN 4,Question HI 4,Question JP 4,Question CN 4,"Always, Often, Sometimes, Rarely, Never"
5,Social,Teen,Question EN 5,Question BN 5,Question HI 5,Question JP 5,Question CN 5,"Always, Often, Sometimes, Rarely, Never"
6,Professional,Adult,Question EN 6,Question BN 6,Question HI 6,Question JP 6,Question CN 6,"Always, Often, Sometimes, Rarely, Never"
7,Personal,Senior,Question EN 7,Question BN 7,Question HI 7,Question JP 7,Question CN 7,"Always, Often, Sometimes, Rarely, Never"
8,Ethics,Child,Question EN 8,Question BN 8,Question HI 8,Question JP 8,Question CN 8,"Always, Often, Sometimes, Rarely, Never"
9,Social,Teen,Question EN 9,Question BN 9,Question HI 9,Question JP 9,Question CN 9,"Always, Often, Sometimes, Rarely, Never"
10,Professional,Adult,Question EN 10,Question BN 10,Question HI 10,Question JP 10,Question CN 10,"Always, Often, Sometimes, Rarely, Never"
11,Personal,Senior,Question EN 11,Question BN 11,Question HI 11,Question JP 11,Question CN 11,"Always, Often, Sometimes, Rarely, Never"
12,Ethics,Child,Question EN 12,Question BN 12,Question HI 12,Question JP 12,Question CN 12,"Always, Often, Sometimes, Rarely, Never"
13,Social,Teen,Question EN 13,Question BN 13,Question HI 13,Question JP 13,Question CN 13,"Always, Often, Sometimes, Rarely, Never"
14,Professional,Adult,Question EN 14,Question BN 14,Question HI 14,Question JP 14,Question CN 14,"Always, Often, Sometimes, Rarely, Never"
15,Personal,Senior,Question EN 15,Question BN 15,Question HI 15,Question JP 15,Question CN 15,"Always, Often, Sometimes, Rarely, Never"
16,Ethics,Child,Question EN 16,Question BN 16,Question HI 16,Question JP 16,Question CN 16,"Always, Often, Sometimes, Rarely, Never"
17,Social,Teen,Question EN 17,Question BN 17,Question HI 17,Question JP 17,Question CN 17,"Always, Often, Sometimes, Rarely, Never"
18,Professional,Adult,Question EN 18,Question BN 18,Question HI 18,Question JP 18,Question CN 18,"Always, Often, Sometimes, Rarely, Never"
19,Personal,Senior,Question EN 19,Question BN 19,Question HI 19,Question JP 19,Question CN 19,"Always, Often, Sometimes, Rarely, Never"
20,Ethics,Child,Question EN 20,Question BN 20,Question HI 20,Question JP 20,Question CN 20,"Always, Often, Sometimes, Rarely, Never"
21,Social,Teen,Question EN 21,Question BN 21,Question HI 21,Question JP 21,Question CN 21,"Always, Often, Sometimes, Rarely, Never"
22,Professional,Adult,Question EN 22,Question BN 22,Question HI 22,Question JP 22,Question CN 22,"Always, Often, Sometimes, Rarely, Never"
23,Personal,Senior,Question EN 23,Question BN 23,Question HI 23,Question JP 23,Question CN 23,"Always, Often, Sometimes, Rarely, Never"
24,Ethics,Child,Question EN 24,Question BN 24,Question HI 24,Question JP 24,Question CN 24,"Always, Often, Sometimes, Rarely, Never"
25,Social,Teen,Question EN 25,Question BN 25,Question HI 25,Question JP 25,Question CN 25,"Always, Often, Sometimes, Rarely, Never"
26,Professional,Adult,Question EN 26,Question BN 26,Question HI 26,Question JP 26,Question CN 26,"Always, Often, Sometimes, Rarely, Never"
27,Personal,Senior,Question EN 27,Question BN 27,Question HI 27,Question JP 27,Question CN 27,"Always, Often, Sometimes, Rarely, Never"
28,Ethics,Child,Question EN 28,Question BN 28,Question HI 28,Question JP 28,Question CN 28,"Always, Often, Sometimes, Rarely, Never"
29,Social,Teen,Question EN 29,Question BN 29,Question HI 29,Question JP 29,Question CN 29,"Always, Often, Sometimes, Rarely, Never"
30,Professional,Adult,Question EN 30,Question BN 30,Question HI 30,Question JP 30,Question CN 30,"Always, Often, Sometimes, Rarely, Never"
